init_Strategy: 0, init_table: 0, init_desp: 0, inti_Stt: 0, init_COstModel: 0
Simulator Device: fifo part=4, smr part=5
totalreq:820000, readreq:0, wrtreq:731464, hit:399240, readhit:0, flush_ssd_blk:731464 flush_hdd_blk:0
totalreq:830000, readreq:0, wrtreq:739448, hit:404448, readhit:0, flush_ssd_blk:739448 flush_hdd_blk:0
totalreq:840000, readreq:0, wrtreq:747573, hit:409982, readhit:0, flush_ssd_blk:747573 flush_hdd_blk:0
totalreq:850000, readreq:0, wrtreq:755713, hit:415412, readhit:0, flush_ssd_blk:755713 flush_hdd_blk:0
totalreq:860000, readreq:0, wrtreq:764179, hit:420726, readhit:0, flush_ssd_blk:764179 flush_hdd_blk:0
totalreq:870000, readreq:0, wrtreq:772614, hit:426045, readhit:0, flush_ssd_blk:772614 flush_hdd_blk:0
totalreq:880000, readreq:0, wrtreq:780883, hit:430695, readhit:0, flush_ssd_blk:780883 flush_hdd_blk:0
totalreq:890000, readreq:0, wrtreq:789108, hit:436229, readhit:0, flush_ssd_blk:789108 flush_hdd_blk:0
totalreq:900000, readreq:0, wrtreq:797440, hit:441125, readhit:0, flush_ssd_blk:797440 flush_hdd_blk:0
totalreq:910000, readreq:0, wrtreq:805543, hit:446009, readhit:0, flush_ssd_blk:805543 flush_hdd_blk:0
totalreq:920000, readreq:0, wrtreq:813585, hit:451011, readhit:0, flush_ssd_blk:813585 flush_hdd_blk:0
totalreq:930000, readreq:0, wrtreq:821767, hit:455456, readhit:0, flush_ssd_blk:821767 flush_hdd_blk:0
totalreq:940000, readreq:0, wrtreq:829876, hit:459687, readhit:0, flush_ssd_blk:829876 flush_hdd_blk:0
totalreq:950000, readreq:0, wrtreq:838805, hit:464882, readhit:0, flush_ssd_blk:838805 flush_hdd_blk:0
totalreq:960000, readreq:0, wrtreq:848138, hit:470059, readhit:0, flush_ssd_blk:848138 flush_hdd_blk:0
totalreq:970000, readreq:0, wrtreq:857291, hit:476171, readhit:0, flush_ssd_blk:857291 flush_hdd_blk:0
